Word,Female,Male
held,78,358
ftas,0,16
stamp,37,47
hvbp,0,10
investor,457,2533
belgium,3,44
counterparti,9,56
feed,6,43
harder,9,69
heteroskedast,2,48
pharmaceut,100,280
sociologist,1,7
belowmedian,0,9
davi,4,11
mhr,0,6
projectlevel,1,10
emb,8,56
dividend,106,746
qs,0,7
polic,42,143
sh,3,6
understand,271,1115
cyberattack,0,16
algorithm,66,275
televis,18,116
twentythre,0,6
varieti,149,938
record,247,658
ihd,0,8
nois,23,195
gatt,5,69
flatrat,0,8
prevolck,0,7
background,77,264
noneu,0,7
apparatus,0,10
disappear,69,214
hr,13,32
tenfold,0,9
tontin,0,18
silent,4,14
widen,26,167
bipow,0,6
diamond,1,18
pose,38,143
physic,144,567
sunk,10,49
nonstandard,5,43
technolog,618,3002
ptas,9,9
gase,1,27
haphazard,0,8
bid,44,415
engend,9,15
wellsuit,0,28
destroy,16,47
bloc,2,45
inclus,57,225
chair,6,8
aftereffect,0,6
fivefactor,0,6
photo,0,6
heller,0,8
klan,0,11
thwart,0,7
beef,0,7
positivefeedback,0,10
publiclytrad,11,23
pac,51,10
presenc,218,1120
dampen,30,77
centuri,158,823
church,3,76
guard,2,13
paternalist,1,16
fractur,8,17
pretreat,9,24
cs,0,8
shiftshar,4,22
preclud,9,49
form,378,1600
hivaid,5,25
w,11,74
longmemori,0,9
bidask,3,59
agencybas,0,9
prepar,34,162
regressionadjust,1,6
portfoliobas,2,7
jobless,11,58
recast,3,14
lunch,11,48
benefitcost,10,27
survivorship,0,10
famil,0,6
dirti,2,41
odd,40,104
consortium,0,8
compil,16,75
resum,8,32
dexter,0,7
familybas,1,7
comfort,3,6
tie,84,249
hotel,38,39
simplifi,17,72
collus,12,77
invert,6,42
strong,522,2597
border,103,335
cashier,0,8
subway,1,23
burgeon,2,19
tax,1171,8491
postretir,2,42
synchron,17,90
amelior,7,31
cautious,5,22
denser,0,15
stop,32,261
dramat,199,612
riskless,11,50
endlin,0,6
drive,186,568
innat,1,10
underpredict,5,20
develop,1342,6227
unanticip,25,144
dub,1,15
circl,6,25
aspir,19,25
mcdonald,0,6
attenu,29,107
sentiment,43,182
slot,3,33
were,1162,3822
ap,0,31
trigger,39,265
lowpric,8,13
anorexia,0,12
confirmatori,1,12
toolkit,0,12
common,361,1600
antidepress,3,27
meritocrat,0,10
set,811,3841
rothschild,0,6
nox,30,10
scarc,26,71
richer,59,163
sticker,0,6
scheme,84,376
hospic,0,8
shot,14,11
this,5717,25667
salvador,10,12
homework,0,11
murphi,2,13
returntowork,1,8
conquest,0,8
mida,0,11
divers,133,423
odious,1,9
improv,937,2940
oilpric,0,6
morbid,13,62
usuk,0,7
taskspecif,0,7
fci,0,12
characterist,534,2005
employeremploye,23,103
uptod,1,7
dcs,0,7
nave,3,36
npv,4,15
profound,6,48
drawdown,0,14
australian,3,41
smirk,0,10
phasedin,0,9
ipca,0,10
revok,0,9
attitud,112,261
foundat,46,190
metal,2,20
standpoint,0,22
thing,5,111
realize,17,196
procompetit,8,29
clearinghous,15,28
buyersel,3,8
wellb,114,398
squar,25,186
toulous,0,6
fishback,0,14
duke,2,12
st,26,59
expatri,0,6
theoreticallymotiv,0,10
rothstein,0,6
bondhold,3,25
hawthorn,0,9
ths,3,21
california,125,280
warm,5,81
erupt,0,12
secondti,0,9
classsiz,0,12
hedg,79,528
handcollect,8,34
cod,0,6
har,3,13
symbiot,0,7
finetun,0,13
analys,153,624
vat,0,116
stapl,2,14
goe,19,86
drier,0,9
sustain,100,439
stockhold,8,33
volum,107,472
liken,0,6
statesponsor,0,6
beveridg,0,12
milton,0,14
unspan,0,10
disentangl,26,86
cream,4,13
birthweight,19,48
revolutionari,4,9
firmsiz,3,12
slowdown,10,150
intercountri,0,8
grouplevel,2,12
crosssystem,0,6
owneroccupi,4,43
headship,14,9
vioxx,0,6
shift,319,1485
tackl,8,29
dropout,33,145
rtc,0,24
challeng,176,559
equiti,380,2292
fox,0,11
say,19,101
seldom,4,24
backoftheenvelop,7,25
power,296,1669
fxi,0,8
becker,15,28
meter,7,16
reducedform,11,132
finalgood,1,13
cdo,0,18
exdividend,0,6
capitalconstrain,0,10
khasi,0,8
majoritarian,11,15
speech,4,16
onlin,100,376
greek,3,8
fattail,0,11
clearcut,2,11
summer,37,107
lsp,0,6
hotter,0,6
lima,0,9
tentat,1,53
fixedincom,2,15
soil,13,12
habit,30,164
freedom,22,85
secur,537,1949
homestead,2,8
british,30,174
narrowli,18,72
hardwar,2,6
step,63,216
strategi,261,1524
link,435,1557
outlay,5,47
independ,126,765
simpli,65,251
baumoltobin,1,6
indonesia,54,53
data,3285,12332
unif,3,6
mediumrun,7,18
principalag,4,55
mei,0,6
ministeri,0,6
penetr,21,127
various,185,1057
concord,7,15
augment,35,171
esbi,0,16
leftw,1,14
blender,0,6
ivi,0,13
wwwnberorgdata,0,6
higheffort,0,7
commut,6,93
farleft,0,10
ad,106,692
selfcontrol,14,69
sweeten,0,11
fore,0,9
poqu,0,6
toxic,15,31
distant,18,70
oaa,0,10
just,120,505
spontan,0,13
disloc,8,21
alcohol,209,303
talker,0,6
computerrel,4,7
emr,4,41
noncommunic,4,22
portabl,6,35
pennsylvania,8,43
they,1287,5499
tissu,1,7
conson,1,10
limit,397,1980
suffici,81,736
inspir,4,30
kalman,0,8
macro,36,366
prenat,86,132
journey,0,7
cointegr,11,91
anticorrupt,6,10
eigenvector,0,9
illeg,38,106
talent,44,113
ageprofil,0,10
away,118,372
primarili,135,566
analogu,1,10
infer,94,556
cfa,0,7
increas,3606,13700
lep,2,12
depositinsur,2,6
lenderoflastresort,0,9
zipcod,1,12
mbs,2,28
born,176,427
leap,0,6
facilit,98,354
realli,3,21
hwi,0,12
built,30,79
fundsoffund,3,10
intract,2,8
winter,24,43
cleaner,7,31
grow,223,999
gnp,8,97
surgic,2,26
retaliatori,0,11
snf,24,18
explain,713,3361
ce,0,63
tap,13,10
longev,39,119
is,7520,35984
iraqi,5,10
timeless,0,6
cobbdougla,2,19
condit,696,3233
extrapol,6,82
wake,13,63
wageset,2,32
pervas,17,141
overhang,12,59
annual,202,949
fill,28,131
millennium,3,15
accident,6,14
instal,12,44
politicaleconomi,4,34
camp,2,28
richard,1,6
disturb,11,211
white,218,622
profit,302,1393
articul,5,36
updat,39,232
tiaacref,0,6
war,137,648
stick,7,19
bronz,0,16
oblig,24,149
farreach,2,18
highresolut,8,15
ls,2,7
cola,0,19
infus,2,11
danger,3,47
came,14,84
downsid,7,61
pdfs,0,19
continuationlend,0,6
individu,1224,4780
wide,183,899
interbank,12,58
indeterminaci,9,39
vacant,1,17
durablegood,0,12
ngo,0,9
youngest,6,17
aka,0,6
exampl,221,1054
write,28,50
nonstar,0,8
bb,0,17
exchang,444,3200
prekindergarten,9,7
judici,16,127
prescript,124,356
investmentgrad,9,6
episodebas,4,8
multiplehypothesi,0,8
consortia,0,18
threaten,18,47
sierra,11,10
sheet,56,256
statespac,1,9
prereform,0,18
alongsid,8,35
commutingzon,0,6
disburs,6,27
lowproduct,1,11
taxeffici,0,8
wageearn,0,12
knowledgecapit,0,9
nesheim,0,6
decay,8,46
dornbusch,0,14
circumv,4,26
favar,4,14
bestrespons,0,13
employe,308,1250
diminish,64,244
guarante,61,250
constantinid,0,6
arsenic,0,10
comorbid,9,7
threeprong,0,6
toy,0,29
ross,0,9
complaint,11,41
topolog,0,18
simplest,2,33
inschool,3,6
catch,4,46
physiolog,6,19
dsm,0,15
singular,0,9
relabel,1,15
skim,10,14
ctrip,0,6
cfo,4,6
easytous,3,8
sunday,0,9
searchandmatch,2,7
pan,1,7
equitybas,0,13
agi,0,23
tmsdg,0,28
citat,70,279
saddam,0,8
jones,0,9
watson,0,22
postsit,0,8
translog,1,24
straightforward,18,59
magnifi,11,91
multistag,1,24
nonstochast,0,6
theolog,1,11
taxdeduct,0,9
passeng,2,56
tractlevel,2,6
fundrais,11,70
intergroup,15,13
dtc,6,16
underreport,8,61
refuge,1,36
retreat,2,7
overoptimist,3,12
balassa,0,6
useless,1,8
extramargin,0,10
integr,266,1173
permit,62,373
educ,1142,3428
inherit,17,166
diaspora,4,22
univers,350,1067
underserv,3,13
chaebol,0,18
lowerrank,1,8
highincom,46,153
bab,2,13
swl,0,18
rivalr,0,7
rug,0,18
mpl,0,12
explod,7,14
sbp,0,29
itemlevel,3,6
experiment,204,656
dtca,14,17
fed,16,188
peg,20,171
cone,0,14
takeoff,0,40
boy,73,187
yaron,0,9
mac,1,12
overweight,38,99
colombia,39,97
serb,0,8
dynam,549,2838
stigler,0,7
epl,0,22
underappreci,2,10
pm,29,58
welfarest,1,9
leapfrog,2,7
nd,10,12
sps,1,10
contrast,328,1547
done,37,126
hometown,1,11
finnish,0,9
illumin,10,36
abound,1,8
specul,32,338
versus,100,506
fernald,0,6
societi,56,404
feeforservic,24,54
nonethanol,0,8
hostil,3,63
eighteen,2,18
nonfil,0,8
nonemploy,4,152
clinic,86,227
vbid,0,16
unaffili,1,6
flop,0,6
naep,0,8
riskbas,1,26
balancedbudget,1,12
commonag,0,14
gvc,3,18
nonwag,5,21
ramsey,19,52
poach,3,10
nonpay,2,16
plural,1,13
affirm,30,96
deleverag,16,59
experi,807,3107
heritag,5,9
tension,13,67
fee,105,418
free,124,555
outsid,158,569
postdisplac,0,9
frequentist,1,11
inter,9,56
dietari,11,20
svensson,0,17
unrest,0,8
frugal,0,7
vendor,17,46
breakup,1,14
deviat,187,845
complier,0,16
intertempor,30,548
plus,29,129
abrupt,4,59
sophist,32,180
owncompani,0,6
egb,0,12
retir,645,2161
human,344,1309
interwar,9,63
tilt,10,44
gain,587,2565
enemi,1,8
familiar,8,110
stc,0,6
nonwork,9,33
buyersuppli,2,6
leastskil,1,6
defect,1,20
seriescross,0,6
amass,0,10
degre,303,1305
runnerup,0,6
traffick,2,7
unfair,7,15
actuari,5,104
multipl,176,841
foreclos,3,21
frequenc,103,484
react,26,182
lossavers,0,6
overrid,0,8
flavor,0,19
catastroph,10,82
nonstunt,0,7
imperson,0,6
lbd,1,14
autom,15,81
trefler,0,6
ssos,1,22
aer,0,20
dairi,0,9
causat,5,36
division,0,12
affluent,7,22
defaultfre,2,7
divis,45,158
choicetheoret,0,10
preserv,30,96
wascher,0,8
publich,0,6
cocktail,0,9
bmw,0,6
divisia,0,18
vibrant,3,8
libor,0,9
timetoship,0,6
perspect,95,408
question,405,1793
latenc,0,7
tariff,121,618
modelimpli,3,8
haigsimon,0,8
discontinu,124,337
start,229,611
asthma,14,62
angina,0,6
ged,1,87
laid,9,17
nielsen,17,14
surmount,5,6
textual,2,15
ccl,8,6
punjab,2,8
proper,28,148
extensiveform,0,7
trilemma,0,67
siegel,0,6
steel,8,50
von,0,7
crossfit,0,6
predictor,91,302
welldesign,3,11
welfareimprov,2,19
unfold,9,23
archetyp,0,6
groningen,0,6
fernandezv,0,6
match,407,1639
crosssubsidi,0,7
ghgs,1,7
sometim,38,198
relativepric,2,12
where,625,2990
skillscarc,0,11
poker,0,7
sectorlevel,3,9
ambiguityavers,0,7
highstak,21,70
overconfid,27,79
britain,17,142
necessit,3,21
hybrid,19,114
tinbergen,0,7
ecosystem,14,24
nonintegr,3,7
stern,0,7
inflex,2,25
puls,0,6
album,2,10
popelech,0,6
fluctuat,144,1053
timevari,38,369
repurchas,23,89
sat,16,43
worklimit,1,8
most,979,4459
mileston,4,10
cleavag,0,16
syep,12,10
misconcept,0,11
threefactor,4,28
poverti,261,542
telric,0,6
tobit,5,23
scalar,0,7
breed,1,9
phd,29,40
dow,0,10
nontrad,31,252
irrate,1,13
financegrowth,0,6
classifi,33,130
cheung,0,8
occur,277,1264
fourth,37,208
give,197,830
collegehigh,0,9
lowerpr,1,7
consumptionsav,8,27
amort,0,12
instabl,21,168
adult,293,699
partner,97,354
expertis,22,79
repres,214,1065
valenc,6,9
talk,2,27
finitesampl,2,9
cournot,11,33
eurozon,4,70
hivposit,0,21
promin,23,175
deceler,2,39
field,251,861
holm,0,6
attach,40,102
civ,0,16
explicit,102,481
soar,2,14
immun,14,44
settlement,11,167
avert,2,19
labour,19,131
highgrowth,4,17
toddler,16,7
expropri,3,79
interventionist,2,12
unusu,40,164
disincent,5,44
arrang,103,411
indic,613,2717
neutral,16,233
contextit,0,6
innovationbas,0,6
underretire,0,6
econometr,94,611
counterintuit,6,17
opinion,32,129
pretest,2,10
rapid,165,769
orient,14,104
sequenc,23,140
btb,3,12
fixedr,0,44
strateg,113,500
disinfl,4,33
robberi,6,19
everi,64,319
nonstationari,4,20
misconduct,2,57
climat,79,644
apparel,22,13
firesal,2,19
column,0,15
offend,27,64
atp,5,16
midterm,1,18
snfs,18,8
nonpecuniari,13,42
possess,26,121
whole,23,224
prize,20,107
rater,0,8
finland,0,14
tbill,4,9
tower,1,6
reciproc,26,104
alcoholrel,3,8
collegeeduc,5,33
bulli,0,8
parenthood,1,13
collud,1,15
theorem,5,82
lowlevel,2,9
compound,8,51
agglomer,27,176
agent,235,1671
singlesex,3,15
benefici,57,179
balanceofpay,1,13
lipsey,0,7
levin,0,10
grinblatt,0,6
foresight,1,46
reorgan,5,61
abnorm,52,211
thesi,5,26
thirdcountri,1,7
mpc,14,26
analyst,68,204
prebirth,9,8
plot,8,12
mind,12,32
proceed,18,144
sipp,5,46
interlinkag,0,6
pccs,0,8
immediatetrad,0,6
semielast,0,6
swfs,0,16
maskin,0,8
freestand,2,16
reduc,1279,4807
gas,81,250
str,0,9
alreadi,45,263
nonexclus,0,6
place,179,840
progress,146,630
worksit,4,10
director,63,104
dot,4,11
entrepreneur,72,406
apt,0,14
arv,0,10
parentinlaw,0,9
concentr,233,1083
februari,3,37
phase,44,220
recurr,1,30
giant,0,8
artifact,1,26
cautionari,0,23
summar,52,266
se,20,82
r,11,70
honest,9,17
lowwealth,0,9
bracket,2,73
specifi,44,293
cannot,144,934
lend,212,919
razin,0,7
tennesse,0,28
pseudo,1,9
context,223,839
fuel,30,331
broad,164,691
inaccur,1,25
msdsge,0,9
shipment,5,60
voter,116,507
lowerlevel,0,6
discretechoic,3,9
invit,11,21
tractor,0,8
bogot,3,7
urbanrur,0,15
familyplan,0,6
premia,63,356
satisfactori,3,20
kidney,3,63
could,346,1316
copenhagen,1,8
state,1419,5951
seigniorag,0,37
result,2361,9750
nonmonoton,9,96
dispers,156,708
risk,1104,5833
beget,4,7
disaggreg,34,229
contemporan,27,205
san,21,38
paragraph,0,10
mix,102,540
nonmarit,26,14
localarea,1,7
urib,2,10
intraday,4,48
meteorolog,11,7
cut,89,569
unconvent,18,80
percept,46,191
entrench,7,42
vintag,5,94
whale,0,10
firststag,2,9
micro,90,420
basketbal,3,15
ceteri,8,61
potenti,627,2495
onegood,0,7
naturallyoccur,0,18
cai,0,7
inequ,308,1626
elit,67,207
enforc,78,621
heighten,18,67
pes,6,6
triffin,0,6
viewer,0,16
hatchwaxman,0,6
openmarket,0,10
smile,0,7
pigovian,0,10
cumul,61,165
utero,52,40
entertain,4,28
conclud,182,1052
pakistan,1,37
highskil,27,93
veteran,74,101
partnership,37,134
nonhomothet,6,31
policyrelev,11,27
marktomarket,0,13
quot,16,37
highinterestr,0,9
dislik,8,16
synthet,24,98
waitlist,2,15
let,11,67
stronger,193,664
fullemploy,1,10
deflationari,4,41
entail,11,85
overlay,0,8
recurs,8,109
dataset,328,877
cashinadv,0,22
address,256,1000
consumerist,0,9
cantril,0,9
inform,1300,5448
continuoustim,6,59
uneven,8,49
ecolog,16,18
inth,1,6
overpr,5,27
met,23,62
rice,7,49
molecular,0,10
congest,18,124
doubt,14,138
gambler,0,11
clear,115,554
upsid,0,29
trim,0,18
workforc,59,179
toronto,0,8
nonequival,0,7
pneumonia,8,7
fiscal,180,1646
fund,623,2812
uncondit,31,176
uncorrel,38,89
pake,2,25
lotteri,120,292
lumpi,6,38
exagger,9,45
corrupt,74,321
moneytight,0,6
weinstein,2,6
restrictedaccess,3,11
threecountri,1,10
undersuppli,0,7
unwilling,0,17
nonunion,15,65
serious,68,261
overarch,1,7
rtbs,0,10
partialequilibrium,1,7
interjurisdict,0,6
demandsuppli,0,9
rare,46,197
ostrovski,0,7
statement,27,107
gses,0,9
probat,0,10
msa,15,27
biophys,0,18
newborn,21,56
first,951,4128
reconcil,51,216
iceberg,0,14
impur,1,12
monetarypolici,0,10
recapit,3,18
diversif,61,233
deriv,159,1154
spectrum,11,43
ffs,11,16
creamskim,1,11
enter,136,448
split,13,77
invis,0,10
largescal,87,198
assistantship,0,8
zip,22,76
essenti,109,361
worker,894,4209
carryov,0,8
nondiversifi,6,11
heurist,11,73
l,3,10
preliber,6,6
pars,8,6
marc,1,6
topic,31,121
prone,12,71
cpgf,0,8
illustr,151,695
facil,95,194
reflect,239,1257
givingbyoth,0,8
potent,2,25
nonso,2,13
object,80,531
farm,30,164
protect,264,1009
jewish,4,8
matchspecif,0,10
mistak,31,92
aspirin,0,8
creditrisk,0,8
bernank,0,15
overshoot,3,52
degroot,0,15
ss,14,38
hie,0,10
subvert,0,11
divid,12,149
declin,668,2848
combust,0,31
receiv,389,1521
loos,5,37
oasi,0,33
recreat,9,53
beggarthyneighbor,1,28
disput,26,123
wto,26,84
cia,0,14
middleclass,2,14
propertyright,5,7
explan,201,1197
verdict,1,12
ownwag,0,9
liquor,5,17
conceptu,48,165
hear,3,14
takehom,0,11
lieu,9,9
fastfood,3,21
phc,0,6
indigen,8,16
spiral,9,27
explic,3,8
problemat,14,83
cardiac,20,32
rail,23,39
taxfavor,1,6
mbas,10,7
hospitalbas,2,15
wordofmouth,0,7
drunk,8,29
religios,2,82
deadlin,1,36
intergovernment,1,18
middlemen,4,11
compustat,4,19
doubleblind,0,6
advis,4,63
scanner,7,44
bhcs,0,12
intrahousehold,12,23
certaintyequival,0,11
valid,81,446
footprint,14,19
simultaneousequ,0,8
patenthold,0,8
administ,27,66
insid,80,274
cobenefit,0,7
pci,2,14
tutor,2,14
macrolevel,0,17
conduct,222,726
open,220,1362
minimum,148,711
wealth,393,2003
prepaid,0,22
crisi,325,1689
appli,354,1632
phone,6,63
payout,28,226
prior,266,1074
next,97,430
pedagog,0,14
fourdigit,1,8
to,21416,88800
titman,0,8
lsc,0,9
provinc,68,156
option,215,1242
rigid,83,314
industrywid,5,10
clan,0,8
third,225,1119
sbir,3,12
novel,203,848
acut,46,94
propheci,2,6
hit,17,139
interasset,0,7
rei,0,6
croatian,0,6
setter,2,7
camouflag,0,16
marsden,0,9
indefinit,0,18
withinyear,3,8
health,2306,4682
ipw,0,10
unreli,5,13
agehealth,0,6
reclassifi,3,8
wiener,0,6
imped,12,90
financi,1405,6078
remind,22,47
distributor,0,41
tougher,2,11
unconstrain,17,101
lowerincom,18,35
peer,186,722
quasirandom,22,42
eventstudi,3,26
scholarship,15,85
rehabilit,6,22
iodiz,2,6
iodize,2,8
twentysix,0,8
su,0,15
layoff,22,115
ownpric,0,26
untax,0,31
undergradu,17,118
fake,10,16
rotat,5,77
intoler,11,8
crowdsourc,7,9
demin,0,6
rosen,2,7
solidifi,1,8
postprogram,3,11
ethnograph,4,9
undertak,13,161
acid,6,14
half,183,888
rfc,0,9
coco,0,34
cousin,0,7
of,33370,151510
expansionari,8,115
downplay,0,7
loyalti,3,33
nation,550,2097
incur,44,94
inject,3,76
burglari,7,24
merger,74,411
lowstak,0,14
manufactur,372,1369
quinquenni,1,7
feloni,3,11
nonrepres,2,13
ei,10,34
local,636,2414
betweencountri,0,11
nit,0,6
informationcentr,0,6
ratifi,0,8
downpay,0,35
involuntarili,0,6
cahp,0,6
attitudin,3,9
quitter,0,16
detour,0,11
antiselfd,0,6
unpaid,20,29
notforprofit,24,51
million,160,660
best,137,592
pork,1,12
way,311,1356
exam,58,234
gpts,1,18
bureaucrat,34,105
reduct,482,1874
afternoon,0,8
mediat,37,90
businessst,0,7
payer,21,93
blackwhit,23,121
pick,9,61
extra,20,136
petit,2,22
scorpor,0,9
fortifi,0,7
overtak,6,13
nonauct,0,7
leagu,2,34
taxat,66,698
year,1387,5050
portfoliochoic,0,8
nighttim,3,19
max,0,10
unexpos,1,12
concav,6,53
hike,13,44
homophili,0,21
userfriend,0,8
closest,18,24
instrument,277,1386
sc,4,12
guild,0,31
remuner,8,12
appropri,120,505
gpus,0,7
decisionmak,48,223
creator,6,6
women,1107,1488
rich,218,634
band,9,60
depict,3,16
attract,98,532
heroin,20,19
champion,0,7
nonconst,0,8
ccorpor,0,9
nondrug,4,13
produc,375,1842
concret,9,27
ist,0,7
smoother,4,13
curtail,11,37
finish,7,48
anywher,1,6
holc,0,17
simulationbas,1,7
jamaica,0,12
much,613,2754
fdic,0,11
workout,0,9
lowerachiev,6,6
friction,106,982
covari,52,385
martin,0,7
illhealth,5,8
plateau,0,10
intak,25,59
noninnov,0,6
underdevelop,8,49
discretionari,29,88
refund,22,51
highscop,0,11
sdim,0,16
dollarfordollar,2,6
disaffect,0,6
dissav,1,18
impli,388,2182
higheduc,5,6
outright,0,31
fmp,0,27
nonexpect,0,10
flu,26,14
tranquil,0,22
zerolow,0,10
rican,8,9
ppp,23,79
twofactor,2,34
greenelectr,0,7
reput,27,205
sugar,7,23
uncompens,17,28
moretenur,0,6
forthcom,4,40
happi,32,167
transactionlevel,8,25
cornerston,0,13
reloc,16,58
kortum,2,10
dental,12,27
arbitr,4,120
condom,9,10
overdos,7,17
epoch,0,8
time,1502,6837
seventh,2,6
lowerpaid,0,12
possibl,289,1583
averag,871,3536
supplementari,5,17
habitu,0,19
same,456,2038
sex,131,210
illinoi,10,19
advertis,190,385
hinterland,0,16
racialethn,7,18
hospitallevel,3,7
fixedterm,0,18
posterior,7,53
deforest,28,15
servicelevel,0,24
riski,130,478
purpos,80,395
chiefli,4,9
laborintens,7,40
thailand,6,28
walkin,0,6
tighter,17,80
block,26,195
ov,0,6
theme,9,60
underrepresent,10,14
soybean,0,10
veri,409,1896
etc,4,78
austria,3,38
finer,7,17
room,28,52
childbear,58,103
mispric,15,99
timeinconsist,4,44
marketmak,0,30
republican,25,88
spetsbank,0,10
emigr,23,82
udr,0,10
interim,3,30
agricultur,139,486
rather,340,1547
impetus,2,7
an,3114,14616
peakend,0,12
send,14,86
cityspecif,2,11
has,1742,7300
steeper,9,50
abolish,15,23
chinn,0,9
seen,50,170
lowdebt,0,17
malehead,0,6
corner,3,11
instructor,0,47
mullainathan,0,6
prosecutor,5,11
street,16,57
husband,41,73
theorybas,1,7
captur,201,750
currencytrust,0,6
endur,6,29
regular,74,399
fatah,0,6
nextbest,0,6
closedform,2,53
lion,3,12
triangl,1,8
percutan,2,6
unprofit,15,48
avenu,20,52
brownian,0,15
resolv,17,192
coauthorship,3,10
pursuit,0,28
s,598,2570
pay,383,1675
zif,0,10
turbul,2,55
novic,8,22
smaller,261,994
bomber,0,6
mile,60,76
multiag,0,7
fiveregion,0,7
coloni,25,179
empow,8,42
superaddit,1,9
latvia,0,6
assur,3,28
quasiexperiment,37,125
hitech,0,21
demonet,0,30
infract,1,7
signrestrict,1,8
nonconvent,0,9
mincer,0,26
deposit,35,421
william,0,29
money,144,1142
emergingmarket,5,20
photograph,2,8
chairmen,1,7
starbuck,0,10
auster,8,40
iucrc,0,20
hierarch,9,46
tor,0,7
hurt,16,98
similar,505,2002
estat,42,353
york,62,336
bail,2,38
creditmarket,0,12
thus,291,1487
consecut,6,20
bounc,0,10
rogoff,7,23
extensivemargin,0,6
unwind,4,15
costinot,0,6
undervalu,13,81
whistleblow,0,6
caribbean,3,11
rise,390,2306
dissuad,0,8
unidentifi,0,11
look,136,524
riester,0,6
implos,3,13
connecticut,7,6
sso,1,18
worth,31,253
execut,98,478
speedsafeti,0,6
howitt,2,6
satisfi,16,154
spur,19,89
alarm,0,7
newkeynesian,2,35
loosen,2,24
kouri,0,8
cip,9,12
outputinfl,0,9
andor,87,233
license,6,6
heckman,5,29
cat,0,49
prevail,17,151
preannounc,4,23
sizabl,58,246
willingnesstopay,12,32
backus,0,8
supermarket,12,55
star,75,123
ingroup,5,20
locus,9,12
reneg,2,14
oneunit,3,6
nonmemb,1,17
accomod,0,6
warranti,0,6
cure,1,6
lbos,0,17
fluoroquinolon,0,6
secondround,0,6
organ,252,911
through,762,3070
infring,13,12
faculti,25,196
constru,5,11
crosscorrel,3,21
feder,282,1266
rough,131,604
oligopolist,6,40
doubli,0,7
longitudin,164,534
keynesian,32,249
programm,0,25
specif,530,2120
heightforag,0,8
theori,478,2740
counti,173,594
deterior,46,193
highva,0,6
map,32,98
cochran,0,23
research,853,3069
conduc,10,43
milgrom,0,11
northsouth,12,22
mediev,2,22
abil,309,1550
crosssect,153,893
undocu,12,24
middleincom,23,83
sought,22,31
pulp,0,14
interrel,11,40
revenueneutr,1,23
even,654,2870
shortsal,4,31
accountgdp,0,6
charg,62,301
buy,94,333
steadili,8,64
geographi,40,176
nonteach,0,8
highord,0,14
kz,0,16
pev,0,8
thatcher,0,7
reit,0,32
cbat,0,9
efficiencyenhanc,1,10
ate,0,27
japanes,53,554
canadaus,0,8
discord,0,7
hous,366,2197
heat,2,80
unbiased,0,18
solv,90,349
sizeabl,33,137
burkina,6,6
scandal,3,21
inadequ,18,63
vietnamera,3,13
arpa,0,15
reson,1,7
staterun,4,13
longerrun,10,47
zealand,7,39
veil,10,15
thirdparti,25,54
telephon,6,28
pregnanc,86,119
becaus,641,2823
transfus,0,6
peripher,17,47
club,13,52
misguid,3,8
kipp,0,22
quintil,11,153
ses,66,47
must,105,584
bivari,7,39
vietnam,26,44
vii,1,8
coat,4,7
inexor,0,9
empower,21,16
hatr,0,6
retrench,4,16
socialist,0,22
swiss,4,39
bridg,15,48
cellulos,0,6
lowinfl,3,10
card,32,305
preretir,2,30
menu,23,100
transpar,40,261
ifo,0,6
flourish,2,8
lifeyear,4,28
atscal,0,9
footbal,0,37
pessim,5,24
experimentalist,0,7
societ,22,36
preaca,0,16
southwest,1,13
percapita,25,65
evan,4,9
inputbas,0,6
exposur,349,899
lowsav,0,8
culmin,2,21
expand,157,521
imping,0,12
warner,1,8
north,45,254
catheter,0,16
port,17,38
midsiz,3,11
mill,11,17
coeffici,57,444
oneperiod,5,20
workerfirm,0,11
reg,0,8
manski,0,10
kurtosi,2,23
waxmanmarkey,0,6
flatten,1,27
selfsign,0,6
allevi,37,118
drill,1,33
preindustri,2,19
delist,0,18
nondegener,2,15
injuri,24,112
homebia,0,7
victorian,0,6
choicebas,0,12
matur,75,435
slaveri,2,14
lowtax,7,19
taxfre,1,7
critic,160,650
scholast,3,14
highercost,0,7
expir,11,61
client,38,151
overpaid,0,6
would,556,3056
onestandard,4,10
investig,607,1992
preterm,0,7
singleton,3,12
domesticown,1,10
ho,4,12
mtf,0,10
council,12,61
insolv,6,63
fhp,0,8
donald,0,8
folk,0,6
schooltowork,2,21
thirdord,0,11
mismeasur,6,31
re,0,17
eat,7,29
wane,1,8
christma,0,8
singleag,2,11
stipul,1,8
avoid,144,589
shall,2,19
vacat,1,15
uneduc,2,7
counterproduct,1,18
youth,209,674
becom,386,1248
interestbear,0,6
asymmetri,48,228
mileag,6,11
employerbas,4,22
ought,8,15
pacif,3,20
disappoint,5,45
misinterpret,1,6
policyhold,6,15
team,86,260
econometrician,1,37
waiv,3,7
haryana,4,7
discern,35,79
reassess,11,38
abov,88,514
interv,19,179
taxi,1,35
diesel,0,32
news,90,662
fiction,2,14
aspect,85,445
cost,1715,7970
blunt,2,12
candid,82,277
rulebas,2,12
herrnstein,7,6
rationalexpect,0,21
afford,63,222
commit,131,848
observ,657,3083
proemploy,0,7
locallevel,0,12
bowl,1,13
kong,34,60
outflow,23,139
hysteresi,2,25
detain,1,6
offbalancesheet,0,7
waiver,16,14
garch,0,36
econom,1244,6498
contextsto,0,7
effect,4931,17966
