Word,Female,Male
vs,43,129
delayedtrad,0,6
precoloni,0,24
dilig,0,22
foe,0,7
eus,2,7
viceira,0,6
rbc,1,26
obvious,14,53
clarif,0,7
deter,22,117
shoulder,2,7
competit,472,2431
crosssector,0,8
privatepay,0,8
puriti,0,12
absent,30,140
sexspecif,0,9
mutual,107,375
grossli,5,10
shop,24,88
unifi,23,193
tail,53,202
reject,95,566
resel,3,17
politicaleconom,3,17
sandmo,0,8
class,146,1024
tsls,0,6
symmetri,3,22
lucrat,2,7
decenni,6,15
ious,0,12
countrysector,0,17
bettereduc,3,12
wale,1,16
tpp,0,18
unchang,13,105
gradual,23,213
represent,56,252
endoflif,0,12
collar,18,53
occasion,20,54
routin,24,150
revoc,0,11
simplic,2,31
breakdown,6,44
pricetak,1,12
cyclicallyadjust,0,6
incumb,65,429
renov,1,15
lowinequ,0,6
firsttier,0,9
invoic,38,51
wisconsin,7,13
appendic,3,6
cognit,150,559
rmd,0,12
achiev,293,1286
assetpr,3,46
gambl,9,43
ventur,80,452
remark,67,213
fourteen,7,12
commiss,28,125
integ,0,20
intent,32,78
viewpoint,6,28
lengthi,2,7
statetransit,0,8
converg,87,555
lsn,0,8
migrat,268,638
asymmetr,72,372
epidem,24,65
oneforon,4,19
quasihyperbol,1,9
farther,13,20
sach,1,7
walmart,2,73
lowercost,5,17
comput,127,1022
eas,36,125
polit,379,2086
unbound,0,22
salienc,15,86
recent,652,3109
tus,0,6
macroeconom,251,1469
surtax,0,9
newark,0,12
befor,271,1127
which,2303,11095
lowerlimb,0,6
monopsonist,0,9
educationearn,0,9
wholesal,52,117
returne,2,15
cross,37,387
autism,0,31
longlast,10,46
capitaloutput,0,18
inflationlink,0,6
less,1074,3812
name,110,265
merg,47,107
fie,0,10
presidenti,9,113
stockout,0,9
truth,8,40
chinaus,0,7
interplay,13,70
landus,0,23
websit,19,40
bare,4,62
pull,8,44
juxtapos,1,6
kaldor,0,11
minor,160,442
romer,2,36
master,2,23
justifi,23,218
sane,0,12
nonscienc,0,6
grappl,0,11
prebat,0,12
taxinclus,0,10
perri,8,33
activ,628,2579
nil,3,10
insul,26,87
loan,261,1288
liabl,2,9
seeker,9,48
deactiv,0,6
operation,0,8
halt,2,14
ccca,0,8
diverg,83,276
mitchel,1,7
subscrib,2,15
highlyeduc,2,9
highpoverti,1,17
plain,3,7
postwar,36,232
central,257,1515
philippin,6,25
combin,331,1544
randomlyselect,3,13
junk,3,17
few,154,614
inact,2,25
apportion,0,16
brother,16,59
anthropometr,2,12
switzerland,11,36
sdf,3,38
precautionari,20,198
equat,80,613
uniform,36,265
folklor,0,7
tape,3,22
crossfirm,1,13
gentrif,9,15
stake,27,134
demsetz,1,14
largest,192,597
eight,53,201
ev,6,7
nongovern,0,14
costli,0,6
did,254,884
bextra,0,6
elig,241,632
chairman,4,7
fisherian,3,10
dismiss,14,48
ex,74,508
engag,153,407
katrina,17,15
personeffect,0,9
unbundl,0,30
trail,2,37
schemeinduc,0,6
inquiri,3,35
rdd,0,7
unrepres,0,8
unlimit,4,12
sizediscoveri,0,8
disagr,19,111
itn,8,14
hp,0,9
nondiscretionari,0,9
centralbank,0,23
annum,2,40
rica,1,9
anoth,101,497
antidiscrimin,0,13
typic,213,1066
generos,53,126
amend,9,88
exchangelist,0,7
prolong,9,62
abc,2,18
famili,818,1792
marketdetermin,2,6
miss,81,233
aet,0,12
schell,0,6
excus,12,17
taxtransf,4,19
trace,30,158
ensu,0,45
traine,3,17
lowendow,0,6
listen,4,29
markovswitch,1,23
turnout,16,153
privileg,5,31
internetbas,0,15
nonseason,0,8
determinist,13,87
previous,369,1634
deephabit,0,8
fide,0,6
convict,13,72
wellfunct,5,14
armington,0,17
concert,4,8
hinder,17,50
landmark,12,16
climb,0,18
wood,10,67
nochang,0,6
generalequilibrium,1,88
hot,7,46
bbw,0,10
repeal,6,49
modigliani,5,8
midlif,0,9
aea,0,17
malapportion,0,8
float,10,175
filp,0,7
jurisdict,46,158
msw,0,10
rome,0,6
spotifi,0,6
pattern,498,2150
nasdaq,0,28
stringenc,6,50
along,130,584
transient,2,19
subsidiar,0,6
selfreport,62,220
colonist,0,11
noneconom,21,22
fetal,29,45
grab,0,10
debttax,0,8
sporad,0,8
heterogeneousag,1,18
railroad,10,82
lowerbound,0,6
impervi,0,8
idiosyncrasi,0,8
knightian,0,14
anticipatori,4,24
revers,159,692
needi,25,15
nreg,4,11
jobrel,4,8
threatofaudit,0,8
difficult,140,551
marketplac,19,91
pe,1,90
bondmarket,2,6
back,70,354
unleash,0,8
highpay,3,13
your,5,15
gfci,0,6
nazi,2,30
pressur,121,401
codifi,4,6
guess,7,17
hold,375,1865
hov,8,22
pharmacogenom,0,7
cater,2,37
hypertens,10,14
selfproduct,0,13
nearest,15,22
warmer,7,18
control,929,3368
unperceiv,0,8
perturb,2,58
grossman,9,21
mediterranean,0,7
unsaf,3,7
medicar,271,700
section,81,492
equalityeffici,0,6
lowtyp,3,11
femalehead,0,8
apprentic,0,10
repay,41,230
surpris,124,531
unskil,26,157
searchtheoret,0,16
quantityqu,5,12
more,3620,13335
costshift,0,12
invers,23,163
children,1288,1889
kl,0,6
telecommun,4,37
nudg,11,75
overtim,2,25
filer,31,39
birch,0,6
interact,190,1280
ccb,0,6
carryforward,0,6
autor,0,9
flare,0,8
jobloss,1,6
bayesian,26,195
homothet,2,17
cra,0,26
sub,2,25
berea,2,10
cabg,2,32
con,7,19
profitshar,0,9
undersav,3,9
rfs,4,27
lie,18,128
instanc,24,172
or,2271,9872
