FemaleFrequency,MaleFrequency
0.03279,0.00755
0.00018,4.00E-05
0.01955,0.0045
0.00025,6.00E-05
0.00204,0.00047
4.00E-05,1.00E-05
0.00288,0.00066
0.00564,0.0013
0.00015,4.00E-05
0.00251,0.00058
0.0016,0.00037
0.00525,0.00121
0.00273,0.00063
0.00111,0.00026
0.00233,0.00054
0.01552,0.00357
0.0035,0.00081
0.00853,0.00196
0.03212,0.00739
0.00263,6.00E-04
0.00554,0.00128
0.00035,8.00E-05
0.00204,0.00047
0.01225,0.00282
0.00123,0.00028
0.00132,3.00E-04
0.00036,8.00E-05
0.00129,3.00E-04
0.00175,4.00E-04
0.00084,0.00019
0.08911,0.02052
3.00E-05,1.00E-05
0.01127,0.00259
0.00525,0.00121
0.02995,0.0069
0.00083,0.00019
0.00175,4.00E-04
0.00155,0.00036
0.00495,0.00114
0.00388,0.00089
0.00106,0.00024
0.00994,0.00229
0.0032,0.00074
0.00085,2.00E-04
0.00217,5.00E-04
0.00054,0.00012
0.02698,0.00621
0,0
0,0
0.00303,7.00E-04
0.00214,0.00049
0.0039,9.00E-04
0.00175,4.00E-04
0.00285,0.00066
0.01323,0.00305
0.02411,0.00555
0.00026,6.00E-05
1.00E-05,0
0.01476,0.0034
0.00292,0.00067
0.0072,0.00166
0.00041,1.00E-04
0.02806,0.00646
0.01495,0.00344
0.00167,0.00038
0.00292,0.00067
0.00233,0.00054
0.00263,6.00E-04
0.00087,2.00E-04
0.00204,0.00047
0.00292,0.00067
0.00125,0.00029
0.00204,0.00047
0.00625,0.00144
0.03522,0.00811
0.00026,6.00E-05
0.00077,0.00018
0.01378,0.00317
9.00E-05,2.00E-05
0.03889,0.00895
0.00233,0.00054
0.00368,0.00085
0.00729,0.00168
0.02411,0.00555
0.00556,0.00128
0.00085,2.00E-04
0.00086,2.00E-04
0.03444,0.00793
0.00011,3.00E-05
0.00331,0.00076
0.00292,0.00067
0.00754,0.00174
0.01091,0.00251
0.00438,0.00101
0.0035,0.00081
0.00016,4.00E-05
0.00423,0.00097
0.00527,0.00121
0.00554,0.00128
0.00422,0.00097
0.00181,0.00042
6.00E-05,1.00E-05
0.00122,0.00028
0.0035,0.00081
0.07336,0.01689
0.00366,0.00084
0.00204,0.00047
4.00E-05,1.00E-05
0.01337,0.00308
0.004,0.00092
0.00132,3.00E-04
0.00255,0.00059
0.0035,0.00081
0.00204,0.00047
0.02344,0.0054
0.00359,0.00083
9.00E-05,2.00E-05
0.01287,0.00296
0.02356,0.00542
0.0016,0.00037
0.00686,0.00158
0.00408,0.00094
0.00233,0.00054
0.0017,0.00039
0.00132,3.00E-04
0.00268,0.00062
0.00214,0.00049
0.00052,0.00012
0.00437,0.00101
0.00215,5.00E-04
0.00583,0.00134
0.01202,0.00277
0.00292,0.00067
0.00175,4.00E-04
0.01092,0.00251
0.00496,0.00114
0.00014,3.00E-05
0.00483,0.00111
0.00175,4.00E-04
0.00038,9.00E-05
0.00015,3.00E-05
0.01757,0.00405
0.0017,0.00039
0.00026,6.00E-05
0.00321,0.00074
3.00E-04,7.00E-05
0.01751,0.00403
0.01784,0.00411
0.00053,0.00012
0.00263,6.00E-04
0.00181,0.00042
0.00134,0.00031
0.10221,0.02353
0.00011,3.00E-05
0.00175,4.00E-04
0.00175,4.00E-04
0.00233,0.00054
0.00535,0.00123
0.00084,0.00019
0.00292,0.00067
0.00726,0.00167
0.00157,0.00036
0.00108,0.00025
2.00E-04,5.00E-05
0.02196,0.00506
0.00819,0.00188
0.00037,8.00E-05
1.00E-05,0
0.00193,0.00044
0.0385,0.00886
0.00292,0.00067
0.00292,0.00067
0.00085,2.00E-04
0,0
0.00657,0.00151
0.00377,0.00087
0.00103,0.00024
0.08601,0.0198
5.00E-04,0.00012
0.00079,0.00018
0.01605,0.00369
0.00272,0.00063
0.00817,0.00188
0.00263,6.00E-04
0.00175,4.00E-04
0.00171,0.00039
0.00139,0.00032
0.00068,0.00016
9.00E-05,2.00E-05
0.00442,0.00102
0.00733,0.00169
0.00051,0.00012
0.00263,6.00E-04
7.00E-05,2.00E-05
0.00233,0.00054
0.00263,6.00E-04
0.00204,0.00047
0.00048,0.00011
0.00642,0.00148
0.00229,0.00053
0.00233,0.00054
0.08505,0.01958
0.00031,7.00E-05
0.00017,4.00E-05
0.00204,0.00047
0.06332,0.01458
0.00123,0.00028
0.00204,0.00047
0.00204,0.00047
0.01675,0.00386
0.00019,4.00E-05
0.00063,0.00015
0.00312,0.00072
0.00213,0.00049
0.00263,6.00E-04
0.00259,6.00E-04
0.00233,0.00054
0.11007,0.02534
0.00204,0.00047
0.0063,0.00145
0.0012,0.00028
0.01952,0.0045
0.00496,0.00114
0.00489,0.00113
0.01138,0.00262
0.00548,0.00126
0.00525,0.00121
0.00645,0.00148
0.00321,0.00074
0.00493,0.00113
0.00815,0.00188
0.00143,0.00033
0.00087,2.00E-04
0.00175,4.00E-04
0.00283,0.00065
0.0012,0.00028
